count,fpl_game_week,team,scored,conceded,cleen_sheet_prob,date
1,13,Arsenal,1.6803975856707003,1.587723500812508,0.26654613491938706,2018-11-25
1,14,Arsenal,1.7376202014626614,1.584456542956463,0.2727839906404822,2018-12-02
1,15,Arsenal,1.5517443415062455,2.02137109277665,0.18128418749535208,2018-12-05
1,16,Arsenal,2.060505358714151,0.5438064686357049,0.4787995149995886,2018-12-08
1,17,Arsenal,1.7886773598128518,1.2362997061633825,0.33604150101560265,2018-12-16
1,18,Arsenal,2.480554090354729,0.7049334862505957,0.4936565524942175,2018-12-22
1,19,Arsenal,1.8613562854055616,1.116623902533043,0.36326933180546084,2018-12-26
1,20,Arsenal,1.0854118680222045,2.022683141380634,0.13467887782257212,2018-12-29
1,21,Arsenal,2.1566048003818423,0.572042756543214,0.4836400860969405,2019-01-01
1,22,Arsenal,1.565597847014155,1.4149917691914229,0.2839914033704112,2019-01-12
1,23,Arsenal,1.4344402590935286,1.7075372642063331,0.2220592595755638,2019-01-19
1,24,Arsenal,2.2216949614918224,0.6805454317188298,0.47198322614180255,2019-01-29
1,25,Arsenal,0.9446715695499148,2.428924253672051,0.052794400382360884,2019-02-03
1,26,Arsenal,1.6508818265949046,0.863388344752587,0.38465045968753486,2019-02-09
1,27,Arsenal,2.108259235929734,0.826676174044136,0.4362805583383205,2019-02-24
1,28,Arsenal,1.9774690477869916,1.1555895546926709,0.3683076927447709,2019-02-27
1,29,Arsenal,1.305486255342824,1.881528005072754,0.18015743583109445,2019-03-02
1,30,Arsenal,1.8488158036225368,1.5892371466568127,0.28304574532073595,2019-03-10
1,32,Arsenal,2.0424760899391616,0.8644799793119894,0.4234198964529298,2019-04-01
1,33,Arsenal,1.478214504738982,1.4399128252326423,0.27113494731525045,2019-04-07
1,34,Arsenal,1.53720158763292,1.2919621799347285,0.3017257278027421,2019-04-15
2,35,Arsenal,3.491845742633031,1.7459228713165156,0.7850089430993694,2019-04-24
1,36,Arsenal,1.5338045112042402,1.3642922392193513,0.2893010834117405,2019-04-28
1,37,Arsenal,2.144921499121498,0.6709837080128506,0.46594438993244436,2019-05-05
1,38,Arsenal,2.0259097302343005,0.9794945343662956,0.4025524981874958,2019-05-12
1,13,Bournemouth,1.587723500812508,1.6803975856707003,0.24184151775354013,2018-11-25
1,14,Bournemouth,0.7291063088749347,2.670635781973327,0.01,2018-12-01
1,15,Bournemouth,1.7999192700379885,0.7404971689357991,0.42001097283327526,2018-12-04
1,16,Bournemouth,1.202934731864461,1.8682773859630184,0.17217089167204502,2018-12-08
1,17,Bournemouth,1.371502626882963,1.4773615957739592,0.25426243544908167,2018-12-15
1,18,Bournemouth,1.9653729008474632,0.9487118987150728,0.4016748459565333,2018-12-22
1,19,Bournemouth,1.0854189118677255,2.118737450573912,0.11862839275998233,2018-12-26
1,20,Bournemouth,1.2641457560293738,2.1910492962760357,0.1243226459322378,2018-12-30
1,21,Bournemouth,1.6952431966762402,1.178075169718177,0.3364772407474161,2019-01-02
1,22,Bournemouth,1.2626492440640018,1.6816243535339184,0.20930140414360512,2019-01-13
1,23,Bournemouth,1.66061029685582,1.2380755997732162,0.32300591772255005,2019-01-19
1,24,Bournemouth,1.1648500048171295,1.895223798906191,0.1638797176103168,2019-01-30
1,25,Bournemouth,1.5875020030973594,1.2328346705367517,0.3166096278591698,2019-02-02
1,26,Bournemouth,0.7933111997452146,2.1878592620799004,0.07802183635999124,2019-02-09
1,27,Bournemouth,1.6910845029998454,1.067738063654713,0.35450149277179954,2019-02-23
1,28,Bournemouth,1.1555895546926709,1.9774690477869916,0.14921496294415237,2019-02-27
1,29,Bournemouth,1.0261777709912256,2.2385018358534894,0.0927224150360994,2019-03-02
1,30,Bournemouth,1.367785323918151,1.03756863105209,0.3273844180238875,2019-03-09
1,31,Bournemouth,1.7818900012629992,1.0611706796120834,0.36463135428661647,2019-03-16
1,32,Bournemouth,1.2867246709284323,1.5744891879198002,0.2295990409438275,2019-03-30
1,33,Bournemouth,2.147934676876675,0.8295908617487984,0.4397400119364354,2019-04-06
1,34,Bournemouth,1.5287368719275074,1.2412812780312454,0.3093527912476788,2019-04-13
1,35,Bournemouth,1.8284874697039064,0.7012022148415348,0.4294190454386252,2019-04-20
1,36,Bournemouth,1.438049615134325,1.3429487504611122,0.28334296085995336,2019-04-27
1,37,Bournemouth,1.3689841255836617,1.6730972560537198,0.22130345088696576,2019-05-04
1,38,Bournemouth,1.2930953106812155,1.3810960183166503,0.26254975481025367,2019-05-12
1,13,Brighton,1.2927798467699867,1.5033972535395523,0.2420811890487032,2018-11-24
1,14,Brighton,0.9957315472412864,1.3175731523895515,0.24358601011297704,2018-12-01
1,15,Brighton,1.3171588177232427,1.3280124151368753,0.27381390251299653,2018-12-04
1,16,Brighton,1.4157802788818643,1.4787001700044424,0.25844304760760595,2018-12-08
1,17,Brighton,0.752277482939201,2.1347095750425886,0.08282181060420518,2018-12-16
1,18,Brighton,0.9487118987150728,1.9653729008474632,0.1306581870538937,2018-12-22
1,19,Brighton,1.116623902533043,1.8613562854055616,0.1647421120543601,2018-12-26
1,20,Brighton,1.1921690123035464,1.5339970115516608,0.22696005395754532,2018-12-29
1,21,Brighton,0.8609246568592362,1.819653666027087,0.14627645490171862,2019-01-02
1,22,Brighton,0.7318351335849954,2.0492360856978795,0.09507148597286497,2019-01-12
1,23,Brighton,0.8065524061502632,2.3855142444112505,0.046309739931458344,2019-01-19
1,24,Brighton,1.0693205749083865,1.3232990262964697,0.2499490817129949,2019-01-29
