fpl_game_week,season,count,team,fpl_gw,date,team_goals,opponent_goals,scored,conceded
30,2018-2019,1,Arsenal,30,2019-03-10,2.0,0.0,1.761802244550092,1.581472817395716
32,2017-2018,1,Arsenal,32,2018-04-01,3.0,0.0,2.0756320249935256,0.7302003145525687
32,2018-2019,1,Arsenal,32,2019-04-01,2.0,0.0,2.207732731417634,1.011854803859939
33,2017-2018,1,Arsenal,33,2018-04-08,3.0,2.0,2.0994676022989833,0.6838266400363856
33,2018-2019,1,Arsenal,33,2019-04-07,0.0,1.0,1.6920043886835963,1.2594756596520298
34,2017-2018,1,Arsenal,34,2018-04-15,1.0,2.0,1.6246350541152201,1.263270204872338
34,2018-2019,1,Arsenal,34,2019-04-15,1.0,0.0,1.9339886615429291,1.2077773244928574
35,2017-2018,1,Arsenal,35,2018-04-22,4.0,1.0,2.127960154338084,0.6409848528825837
35,2018-2019,2,Arsenal,35,2019-04-21,3.0,6.0,3.8012588499912843,2.1643773700271156
36,2017-2018,1,Arsenal,36,2018-04-29,1.0,2.0,1.3232161402058134,1.7361568109179861
36,2018-2019,1,Arsenal,36,2019-04-28,0.0,3.0,1.4872046109048553,1.3341759690482253
37,2017-2018,2,Arsenal,37,2018-05-06,6.0,3.0,3.450511019038844,1.9980920340923025
37,2018-2019,1,Arsenal,37,2019-05-05,1.0,1.0,2.112888450966994,0.683242167782409
38,2017-2018,1,Arsenal,38,2018-05-13,1.0,0.0,1.5829628722845106,0.8020241900577805
38,2018-2019,1,Arsenal,38,2019-05-12,3.0,1.0,1.7362878393266814,1.3354149201788292
1,2018-2019,1,Bournemouth,1,2018-08-11,2.0,0.0,1.5420555614600642,0.9291860667653957
2,2018-2019,1,Bournemouth,2,2018-08-18,2.0,1.0,1.4927298454533289,1.4668230548970895
3,2018-2019,1,Bournemouth,3,2018-08-25,2.0,2.0,1.5187271828610247,1.2127663578027805
4,2018-2019,1,Bournemouth,4,2018-09-01,0.0,2.0,1.0535514430639057,2.0387017812880255
5,2018-2019,1,Bournemouth,5,2018-09-15,4.0,2.0,1.5765109665066583,1.122512079859563
6,2017-2018,1,Bournemouth,6,2017-09-23,1.0,2.0,0.9404289118931409,1.7815172263038588
6,2018-2019,1,Bournemouth,6,2018-09-22,0.0,4.0,1.6024654099784985,1.367354605754163
7,2017-2018,1,Bournemouth,7,2017-09-30,0.0,0.0,1.261886460044466,1.6336236724469226
7,2018-2019,1,Bournemouth,7,2018-10-01,2.0,1.0,1.705329800605722,1.2149161001514623
8,2017-2018,1,Bournemouth,8,2017-10-14,0.0,1.0,0.3714929053062841,2.377974927225421
8,2018-2019,1,Bournemouth,8,2018-10-06,4.0,0.0,1.3199187915369262,1.5459569147885945
9,2017-2018,1,Bournemouth,9,2017-10-21,2.0,1.0,1.2825075640099435,1.6597884002400969
9,2018-2019,1,Bournemouth,9,2018-10-20,0.0,0.0,2.0770250042081853,1.1102208887167642
10,2017-2018,1,Bournemouth,10,2017-10-28,0.0,1.0,1.054412203226487,1.8378295337544674
10,2018-2019,1,Bournemouth,10,2018-10-27,3.0,0.0,1.8290890825751056,1.2235458862889925
11,2017-2018,1,Bournemouth,11,2017-11-04,1.0,0.0,0.9133770709939796,1.4679499838289638
11,2018-2019,1,Bournemouth,11,2018-11-03,1.0,2.0,1.5883420308990588,1.4536253191257995
12,2017-2018,1,Bournemouth,12,2017-11-18,4.0,0.0,1.594536063347441,0.6386551014196377
12,2018-2019,1,Bournemouth,12,2018-11-10,1.0,2.0,1.4996558071201143,1.2471865319928372
13,2017-2018,1,Bournemouth,13,2017-11-25,0.0,0.0,1.1418873370500944,1.3657921866027483
13,2018-2019,1,Bournemouth,13,2018-11-25,1.0,2.0,1.5631849653261618,1.6748026057489196
14,2017-2018,1,Bournemouth,14,2017-11-29,1.0,2.0,1.3978415504332344,1.0058241442750402
14,2018-2019,1,Bournemouth,14,2018-12-01,1.0,3.0,0.6276191475931783,2.7898465441045035
15,2017-2018,1,Bournemouth,15,2017-12-03,1.0,1.0,1.2565601153435166,1.0622827678564195
